Date,Value,Anomaly
198001,31.12,1.0
198002,32.85,-0.97
198003,39.36,-2.14
198004,51.44,0.39
198005,60.28,0.08
198006,68.74,0.25
198007,75.76,2.15
198008,72.79,0.69
198009,66.24,1.38
198010,52.59,-1.52
198011,42.31,0.62
198012,35.19,2.51
198101,32.41,2.29
198102,36.59,2.77
198103,42.85,1.35
198104,55.13,4.08
198105,58.96,-1.24
198106,69.82,1.33
198107,73.96,0.35
198108,72.1,0.0
198109,64.92,0.06
198110,52.32,-1.79
198111,44.74,3.05
198112,33.66,0.98
198201,26.22,-3.9
198202,32.59,-1.23
198203,42.03,0.53
198204,48.63,-2.42
198205,60.8,0.6
198206,66.33,-2.16
198207,73.2,-0.41
198208,72.09,-0.01
198209,64.04,-0.82
198210,53.26,-0.85
198211,41.13,-0.56
198212,35.82,3.14
198301,33.12,3.0
198302,36.86,3.04
198303,42.4,0.9
198304,47.01,-4.04
198305,57.94,-2.26
198306,67.1,-1.39
198307,73.99,0.38
198308,75.06,2.96
198309,65.59,0.73
198310,55.0,0.89
198311,43.03,1.34
198312,25.47,-7.21
198401,28.83,-1.29
198402,37.38,3.56
198403,40.08,-1.42
198404,49.6,-1.45
198405,60.08,-0.12
198406,68.61,0.12
198407,73.17,-0.44
198408,73.13,1.03
198409,63.14,-1.72
198410,53.6,-0.51
198411,41.54,-0.15
198412,34.54,1.86
198501,26.31,-3.81
198502,30.87,-2.95
198503,43.48,1.98
198504,54.36,3.31
198505,62.08,1.88
198506,68.11,-0.38
198507,74.05,0.44
198508,71.02,-1.08
198509,62.73,-2.13
198510,54.3,0.19
198511,39.51,-2.18
198512,28.81,-3.87
198601,34.68,4.56
198602,35.85,2.03
198603,46.18,4.68
198604,52.86,1.81
198605,61.09,0.89
198606,70.41,1.92
198607,73.51,-0.1
198608,71.73,-0.37
198609,63.7,-1.16
198610,54.01,-0.1
198611,41.4,-0.29
198612,34.43,1.75
198701,31.44,1.32
198702,37.38,3.56
198703,42.57,1.07
198704,53.53,2.48
198705,62.96,2.76
198706,70.25,1.76
198707,73.27,-0.34
198708,71.87,-0.23
198709,65.25,0.39
198710,52.95,-1.16
198711,43.97,2.28
198712,34.54,1.86
198801,27.79,-2.33
198802,33.69,-0.13
198803,42.4,0.9
198804,51.82,0.77
198805,61.21,1.01
198806,70.88,2.39
198807,74.79,1.18
198808,73.67,1.57
198809,64.6,-0.26
198810,53.96,-0.15
198811,43.29,1.6
198812,33.46,0.78
198901,34.09,3.97
198902,29.17,-4.65
198903,42.67,1.17
198904,52.88,1.83
198905,60.46,0.26
198906,68.13,-0.36
198907,74.23,0.62
198908,71.31,-0.79
198909,64.08,-0.78
198910,54.34,0.23
198911,42.93,1.24
198912,27.73,-4.95
199001,36.5,6.38
199002,36.7,2.88
199003,44.74,3.24
199004,52.52,1.47
199005,58.86,-1.34
199006,70.23,1.74
199007,73.26,-0.35
199008,72.28,0.18
199009,67.35,2.49
199010,53.98,-0.13
199011,44.92,3.23
199012,30.83,-1.85
199101,29.48,-0.64
199102,39.81,5.99
199103,43.32,1.82
199104,52.54,1.49
199105,61.97,1.77
199106,69.08,0.59
199107,73.89,0.28
199108,72.99,0.89
199109,64.9,0.04
199110,54.75,0.64
199111,39.43,-2.26
199112,35.74,3.06
199201,33.62,3.5
199202,39.7,5.88
199203,44.71,3.21
199204,52.54,1.49
199205,61.16,0.96
199206,67.44,-1.05
199207,71.22,-2.39
199208,69.84,-2.26
199209,64.67,-0.19
199210,54.54,0.43
199211,40.06,-1.63
199212,31.75,-0.93
199301,30.47,0.35
199302,31.14,-2.68
199303,41.79,0.29
199304,49.91,-1.14
